বাংলা,চট্টগ্রাম
চুপ করে কেন বেলা কিছু বলছি না,চুপ গরে কিল্লাই বেলা কিসু ন হইদ্দি
বেলা বোস তুমি পারবে কি শুনে,বেলা বোস তুই ফাইত্ত কি শুনি
অনেক পরে তোমাকে পেয়েছিলাম,বহুত ফরে তোঁয়ারে ফাইয়্যি
দেবে না কিছু আর,ন দিব্যু কিসু আর
দাও না বেলাকে একটা বার,ন দ বেলারে উজ্ঞো বার
দরকার খুব বেশি দরকার,দরহার বহুত বেশি দরকার
স্বপ্ন হয়ে যাবে বেলা সত্য,খোয়াব অই যাইব্যু বেলা আচা
অনেক দিন ধরে অনেক অপেক্ষা,বহুত দিন ধরি বহুত অপেক্ষা
রাস্তায় কত হোটেলে,রাস্তাত হতো হোটেলত
আর কিছু দিন তারপর বেলা,আর কিসু দিন তারপর  বেলা
কালো ভরা মিথ্যা কথার শহরে,হালা ভরা মিছা হথার শহোরত
তোমার আমার সংসার,তোঁয়ার অ্যাঁর সংসার
চুপ করে কেন বেলা তুমি কাঁদে,চুপ গরে কিল্লাই বেলা তুই হাঁন্দে
চাকরি আমি পেয়েছিলাম কেমন করে,চঅরি অ্যাঁই ফাইয়্যি ক্যান গরে
সময় হয়ে গেছে শেষ তোর,সমত অই গেইয়্যে শেষ তুঁর
একদিন বৃষ্টিতে সন্ধ্যায়,একদিন বৃষ্টিত আজুইন্নে
থাকবে না সাথে কোন ছাতা,ন থাইব লগে হোন ছাতা
শুধু দেখা হয়ে যাবে রাস্তায়,উধে দেহা অই যাইব্যু রাস্তাত
ভিজে যাবে ছবি মাথা,ভিজে যাইব্যু ছবি মাতা
থাকবে না রাস্তায় গাড়ি,ন থাইব রাস্তাত গাড়ি
দোকানে থাকবে সব বন্ধ,দোকানত থাইব হক্কল বন্ধ
শুধু তোমার আমার মনে,উধে তোঁয়ার অ্যাঁর মনত
কখনো পিছনের দিকে হাঁটে না,হনঅত্তে পিছর মিক্কে ন আডে
আর কখনো রাস্তায় যাবে না,আর হনঅত্তে রাস্তাত ন যাইব্যু
বুঝেছিস মা ছেলেকে বলল,বুইজ্জোস মা ফোয়ার হইলো
তুই নিজে একবারে সামনে হেঁটে দেখা,তুঁই নিজে এব্বেরে সামনে আডি দেহা
মা তাই দেখে আমি সামনে দিকে হাঁটা শিখিয়েছে,মা তাই চ্যাঁই সামনে মিক্কে আডা শিকাইয়্যে
মা ছেলের এই বুদ্ধি দেখে খুশি হয়,মা ফোয়ার এই বুদ্ধি চ্যাঁই খুশি অয়
মনে মনে রাগ করল তার মা,মনত মনত গুসসা গরিল ইতার মা
আর মনে মনে বলে ছেলে তো বুদ্ধিমান,আর মনত মনত কইয়্যরে ফোয়া তো বুদ্ধিমান
তখন তাকে ফেলে দিয়ে আসে,তহন ইতারে ফেলায় দি অ্যাইয়ে
টানতে টানতে অন্য দিকে নিয়ে যায়,টাইনতে টাইনতে অন্য মিক্কে লইয়্যে যায়
সে কাছে একটা শিয়াল থাকে,ইতে হাছে উজ্ঞো শিয়াল থাহে
শিয়াল অনেক দিন খেতে পারে না,শিয়াল বহুত দিন হাইতে ন ফারে
হাতি দেখতে পেয়েছে সে খুশি হয়ে গেছে,হাতি চ্যাঁইতে পাইয়্যে ইতে খুশি অই গেইয়্যে
তাকে খেতে শুরু করে,ইতারে হাইতে শুরু গরে
সে হাতির পেটে ভিতরে চলে গেল,ইতে হাতির পেটেত বিতুরে চলি গিল
তার খাওয়া কিন্তু শেষ হল না,ইতার হাওন কিন্তু শেষ ন অইল
এমন করে দিন চলে গেল,এন গরে দিন চলি গিল
তখন সে হাতির পেটে বসে আছে,তহন ইতে হাতির হাতির পেটেত বৈ আছে
হাতির পেট ছোট্ট হয়ে গেছে,হাতির পেট গুঁড়া অই গেইয়্যে
আর শিয়াল অনেক খেয়ে শক্ত হয়ে গেছে,আর শিয়াল বহুত হাই শক্ত অই গেইয়্যে
তখন তো তার অনেক জ্বালা,তহন তো ইতের বহুত জ্বালা
সে অনেক চেষ্টা করে হাতির থেকে বাহির হতে পারে না,ইতে বহুত চেষ্টা গরে হাতির তুন বাইর অইত ন ফারে
এখন কি হবে তার কে জানে,এহন কি অইব্যু ইতার কেডা জানে
এমন সময় রাজা সেখানে দিয়ে যায়,এন সমত রাজা ওডে দি যায়
তাদের দেখতে পেয়েছে শিয়ালের মাথায় বুদ্ধি আসে,ইতারার চ্যাঁইতে পাইয়্যে শিয়ালর মাতাত বুদ্ধি অ্যাইয়ে
সে হাতির পেটে থেকে তাদের ডেকে বলে,ইতে হাতির পেটেত তুন ইতারার ডাহি কইয়্যরে
ভাই তোরা রাজার কাছে একটা খবর দিতে পারবি,বদ্দা তুঁর রাজার হাছে উজ্ঞো হবর দন ফারিবি
আমার পেটে যদি থাকে,অ্যাঁর পেটেত যদি থাহে
তাহলে আমি যেতে বললে হবে,তঁইলে অ্যাঁই যাইতাম হইল্যে অইব্যু
শুনলে রাজার হাতি কি বলেছে,হুনিলে রাজার হাতি কি হদ্দে
যাই রাজাকে খবর দাও,যাই রাজারে হবর দ
তারা তখন রাজার কাছে যেয়ে সবকিছু বলল,ইতারা তহন রাজার হাছে য্যাই বেক্কিছু হইলো
আপনার হাতি বলেছে যে তার সমস্যা,অনের হাতি হদ্দে যে ইতার সমস্যা
কথা শুনে কি খুশি হল,হথা শুনি কি খুশি অইল
কি আর বলবো খুশির কথা,কি আর হইয়্যুম খুশির হথা
আমার হাতি যদি বাঁচায়,অ্যাঁর হাতি যদি বাঁচায়
আর কত বড় একটা কথা,আর হতো ডঁর উজ্ঞো হথা
সেখানে আর কোন কথা গেল না,ওডে আর হোন হথা ন গিল
শিয়াল দেখে যে হাতি নরম হয়েছে,শিয়াল চ্যাঁই যে হাতি নরম হইয়্যে
তখন একটা সমস্যায় পড়া গেল,তহন উজ্ঞো সমস্যাত ফরা গিল
একটা বাগানে একটি গাছ ছিল,উজ্ঞো বাগানত উজ্ঞো গাছ আইসসিল
সে গাছের কাছে ছিল আম গাছ,ইতে গাছর কাছে আইসসিল আম গাছ
আর তাদের মধ্যে অনেক বন্ধুত্ব,আর ইতারার মাজে বহুত বন্ধুত্ব
রাত তখন একটা,রাইত তহন উজ্ঞো
বাহিরে চাঁদ অনেক অন্ধকার,বাইরে চাঁন বহুত অন্ধকার
রাস্তায় বাতি জ্বলে শুয়ে আছে কুকুর,রাস্তাত বাতি জ্বলে লেডি আছে কুত্তা
তোর জন্য আমি আর শিউলি ফুলের দেবে না,তুঁর লাই অ্যাঁই আর শিউলি ন দিব্যু
আমি আর ফুলের কিছু নেবো না,অ্যাঁই আর ফুলের কিসু ন লইইয়্যুম
তোর জন্য আমি আর অপেক্ষা করবো,তুঁর লাই অ্যাঁই আর অপেক্ষা গইজ্জুম
তোর জন্য আমি অপেক্ষা করবো আজকে,তুঁর লাই অ্যাঁই আর অপেক্ষা গইজ্জুম আজিয়ে
ভোরে যখন শিউলি গাছে ফুল থাকবে,পইত্তে যহন শিউলি গাছেত ফুল থাইব
গাছে ফুল আছে,গাছেত ফুল আছে
গাছ হবে শিউলি ফুলের কেন,গাছ অইব্যু শিউলি ফুলের কিল্লাই
আজকে তাদের দেখা হবে না,আজিয়ে ইতারার দেহা ন অইব্যু
আবার কালকে বৃষ্টি হয়ে গেল,আবার হালিয়্যে বৃষ্টি অই গিল
একটা যে ছিল রাজকন্যা,উজ্ঞো যে আইসসিল রাজকন্যা
চাঁদের মত দেখতে ছিল সে,চাঁনের নান চ্যাঁইতে আইসসিল ইতে
অনেক সুন্দরী রাজকন্যা আমাদের,বহুত সুন্দরী রাজকন্যা অ্যাঁরার
কিন্তু সুন্দরী হলে কি হবে,কিন্তু সুন্দরী অইলে কি অইব্যু
তার ছিল অনেক অহংকার,ইতারা আইসসিল বহুত দেমাগ
রাজকন্যা বলে তার সব তার অহংকার,রাজকন্যা কইয়্যরে ইতার হক্কল ইতার দেমাগ
সে ফুলকে বলে আমি সুন্দর,ইতে ফুলরে কইয়্যরে অ্যাঁই সুন্দর
আমার সাথে তোমাদের কি কোন তুলনা হয়,অ্যাঁর লগে তোঁয়ারার কি হোন তুলনা অয়
আমি হলাম অনেক সুন্দর,অ্যাঁই অইলাম বহুত সুন্দর
আমি বাগানে আসি তোমাদের দিকে দেখি,অ্যাঁই বাগানত অ্যাই তোঁয়ারার মিক্কে চ্যাঁই
কিন্তু আর ফিরে দেখে না তোমাদের দিকে,কিন্তু আর ফিরি ন চ্যাঁই তোঁয়ারার মিক্কে
আমি তোমাদের সাথে কথা বলি,অ্যাঁই তোঁয়ারার লগে হথা হই
মনে কর না তোমরা আমার কিছু হয়ে গেছে,মনত ন গরে তোঁয়ারা অ্যাঁর কিসু অই গেইয়্যে
আমার থেকে তোমাদের কথা ভাল,অ্যাঁর তুন তোঁয়ারার হথা গম
তারা অনেক কষ্ট পেয়েছে তার কথা শুনে,ইতারা বহুত কষ্ট পাইয়্যে ইতারা হথা শুনি
অহংকারী রাজকন্যার এসব কথা শুনে,দেমাগি রাজকন্যার এগিন হথা শুনি
রাজকন্যার বিয়ের বয়স হয়েছে,রাজকন্যার বিয়ার বয়স হইয়্যে
সব রাজ্য থেকে রাজকন্যার বিয়ের কথা আসছে,হক্কল রাজ্য তুন রাজকন্যার বিয়ার হথা আইব্যু
রাজকন্যার কথা শুনে রাজপুত্ররা পাগল,রাজকন্যার হথা শুনি রাজপুত্ররা পল
রূপ নিয়ে অহংকার যার,রূপ লইয়্যে দেমাগ যার
কপাল পোড়া ভাগ্য তার,হপাল পোড়া ভাইজ্ঞ ইতার
রূপের সাথে না থাকলে গুণ,রূপর লগে ন থায়লি গুণ
তার সে রূপে রাজ্য খুন,ইতার ইতে রূপত রাজ্য খুন
রাজকন্যার অহংকারের কথা শুনে খারাপ লাগে,রাজকন্যার দেমাগের হথা শুনি হারাপ লার
কোন রাজপুত্র তাকে বিয়ে করতে চায় না,হোন রাজপুত্র ইতারে বিয়া গরিতে ন চায়
তারা রাজি হল না আর,ইতারা রাজি ন অইল আর
বন্ধ হয়ে গেল বিয়ের কথা,বন্ধ অই গিল বিয়ার হথা
কিছু পরে একটা রাজ্যের রাজপুত্র,কিসু ফরে উজ্ঞো রাজ্যর রাজপুত্র
রাজকন্যার অহংকারের কথা শুনে বিয়ের জন্য বলল,রাজকন্যার দেমাগের হথা শুনি বিয়ার লাই হইলো
সবাই অবাক হয়ে বলে এসব শুনে,বেজ্ঞুনে অবাক অই কইয়্যরে এগিন শুনি
এটি আবার কেমন রাজপুত্র,ইবে আবার ক্যান রাজপুত্র
একটা গরিব ছেলে ছিল সেখানে,উজ্ঞো গরিব ফোয়া আইসসিল ওডে
মাকে নিয়ে তার ছোট সংসার,মারে লইয়্যে ইতার ছোড সংসার
সে খুব ভাল ভাবে কাজ করে,ইতে বহুত ভাবে কাম গরে
সে গরু নিয়ে যায়,ইতে গরু লইয়্যে যায়
তার নিজের কোন গরু নেই,ইতার নিজর হোন গরু নাই
অন্যের গরু নিয়ে সারাদিন থাকে,অন্যর গরু লইয়্যে গুডাদিন থাহে
কাজ শেষ হলে তার ঘরে আসে,কাম শেষ অইলে ইতার ঘরত অ্যাইয়ে
মা যা দেয় তাই খেয়ে নেয়া,মা যা দে তাই হাই লন
কোন কথা বলে না বাবু,হোন হথা ন কইয়্যরে বাবু
সে কোন বায়না ধরে না,ইতে হোন বায়না ন ধরি
খেয়ে চুপ করে শুয়ে থাকে,হাই চুপ গরে লেডি থাহে
একটা দিন রাখালের মা বলল আর কত দিন,উজ্ঞো দিন রাহালঅর মা হইলো আর হতো দিন
কখনো অন্যের গরু নিয়ে যাবি,হনঅত্তে অন্যর গরু লইয়্যে যাবি
একেবারে নিজের একটা গরু দরকার,এক্কোবারে নিজর উজ্ঞো গরু দরহার
মায়ের কথা শুনে ছেলে খুব খুশি হয়,মার হথা শুনি ফোয়া বহুত খুশি অয়
রাখাল তার মাকে বলল তুমি যখন গরু নিতে বললে,রাহাল ইতার মারে হইলো তুই যেত্তে গরু লইত হইল্যে
আমাকে গরু কিনতে হবে তাহলে,অ্যাঁরে গরু কিনিতি অইব্যু তঁইলে
ছেলের কথায় রাখালের মা খুশি হল,ফোয়ার হথায় রাহালঅর মা খুশি অইল
গাছের নিচে গিয়ে বসে রাখাল,গাছর তলাত গিয়্যি বৈ রাহাল
বসে কি করে একটা গরু পাওয়া যায় চিন্তা করে,বৈ কি গরে উজ্ঞো গরু পাওন যায় চিন্তা গরে
তখন আম গাছ থেকে একটা আম পড়ে,তহন আম গাছ তুন উজ্ঞো আম ফড়ি
রাখাল আম নেয়া,রাহাল আম লন
তার অনেক ক্ষুধা পেয়েছে তখন,ইতার বহুত ভুগ পাইয়্যে তহন
তাই সে আম খেতে চায়,তাই ইতে আম হাইতে চায়
রাখাল মুখের কাছে তুলে ধরে আম,রাহাল মুকের হাছে তুলি ধরি আম
আম খায় রাখাল ছেলে,আম হায় রাহাল ফোয়া
আম ছিল অনেক টক,আম আইসসিল বহুত হাট্টা
আম টক না মিষ্টি,আম হাট্টা ন মিডে
তাই একটা খেয়ে রাখাল আম ফেলে দিয়েছে,তাই উজ্ঞো হাই রাহাল আম ফেলায় দিইয়্যি
দেখে আম গাছ কষ্ট পেয়েছে,চ্যাঁই আম গাছ কষ্ট পাইয়্যে
বলল রাখাল আমার আম খেয়ে দেখেছে,হইলো রাহাল অ্যাঁর আম হাই দেইক্কে
আম গাছ বলল আমার আম কেন টক,আম গাছ হইলো অ্যাঁর আম কিল্লাই হাট্টা
তোর আম টক কেন,তুঁর আম হাট্টা কিল্লাই
মিষ্টি হলে সবাই এসে আমার আম খায়,মিডে অইলে বেজ্ঞুনে আই অ্যাঁর আম হায়
আম সবার পছন্দ,আম বেজ্ঞুনের ফসন্দো
হাতের লাঠি দিয়ে গাছে বারি দেয়,আঁতর লাডি দি গাছত বারি দে
সেখানে থেকে বলল কাঠ আমাকে না,ওডে তুন হইলো কাঠ অ্যাঁরে ন
জামা তোকে মানায় না,জামা তোঁরে ন মানায়
সে বলল তুই একটা বিড়াল,ইতে হইলো তুঁই উজ্ঞো বিলাই
বিড়ালের মন খারাপ কেন,বিলাইঅর মন হারাপ কিল্লাই
সে বলল বিড়াল,ইতে হইলো বিলাই
তুই তো আমাকে ছাড়া থাকিস,তুঁই তো অ্যাঁরে ছাড়া থাকস
আমাকে মুক্তি দাও তোমরা,অ্যাঁরে মুক্তি দ তোঁয়ারা
সবুজ উপরে বসে থাকে বিড়াল,সবুজ উদ্দি বৈ থাহে বিলাই
অনেক দিন ধরে সে ভাল খেতে পায় না,বহুত দিন ধরি ইতে গম হাইতে ন পায়
গাছে গাছে পেয়ারা খেয়ে থাকে,গাছেত গাছেত পেয়ারা হাই থাহে
তার মুখের রুচি চলে গেছে,ইতার মুকের রুচি চলি গেইয়্যে
টিয়া দেখে আনন্দে আছে,টিয়া চ্যাঁই আনন্দে আছে
আর খুব মজা পেয়েছে,আর বহুত মজা পাইয়্যে
বিড়াল আজকে দেশে যাবে,বিলাই আজিয়ে দেশত যাইব্যু
তোমার জন্য একটু নিয়ে আসি,তোঁয়ার লাই এক্কানা লইয়্যে অ্যাই
একটা রাজা আর একটা রাজকন্যা,উজ্ঞো রাজা আর উজ্ঞো রাজকন্যা
তার একটা কাজ করতে বলল সবাইকে,ইতার উজ্ঞো কাম গরিতে হইলো অক্কলরে
সব করা হলে রাজা ঘোষনা করে,হক্কল গরা অইলে রাজা ঘোষনা গরে
রাজ্যের সব ঘর থেকে মানুষ নিয়ে আসতে,রাজ্যর হক্কল ঘর তুন মানুষ লইয়্যে আইত
একটা গ্লাসে করে দুধ নিয়ে আসতে হবে,একটা গেলাসত গরে দুধ লইয়্যে আইত অইব্যু
আর রাতে তা দিতে হবে,আর রাইতে তা দন অইব্যু
সকালে রাজা দেখতে চায়,বেইন্যে রাজা চ্যাঁইতে চায়
রাজার আদেশ শুনে সবাই নিজের ঘরে ফিরে আসে,রাজার আদেশ শুনি বেজ্ঞুনে নিজর ঘরত ফিরি অ্যাইয়ে
একটা লোক রাতে যাবে সবার ঘরে,উজ্ঞো লোক রাইতে যাইব্যু বেজ্ঞুনের ঘরত
রাজার পুকুরে দুধ নেওয়ার জন্য যায়,রাজার পইরত দুধ লনঅর লাই যায়
এমন সময় তার মাথায় একটা কথা আসে,এন সমত ইতার মাতাত উজ্ঞো হথা অ্যাইয়ে
সে বলে সবাই পুকুরে যাবে,ইতে কইয়্যরে বেজ্ঞুনে পইরত যাইব্যু
রাজার পুকুরে একটা করে দিবে,রাজার পইরত উজ্ঞো গরে দিতি
আমি যদি দুধ না দেই,অ্যাঁই যদি দুধ ন দ্যি
একটু পানি দেই তাহলে কি হবে,উজ্ঞো পানি দ্যি তঁইলে কি অইব্যু
সে এটি পারবে না,ইতে ইবে ন ফাইত্ত
কারণ সবাই রাতে দুধ দিয়ে যাবে,হারণ বেজ্ঞুনে রাইতে দুধ দ্যি যাইব্যু
রাতে আমি কি দেই কে দেখবে,রাইতে অ্যাঁই কি দ্যি কেডা চ্যাঁইবে
তা বুঝতে পারবে না রাজা,তা ঠওর ন ফাইত্ত রাজা
সবাই মনে করবে আমি দিয়েছি,বেজ্ঞুনে মনত গরিবে অ্যাঁই দিয়্যি
চিন্তা করে লোক মনে মনে বলে আমি পানি দিব,চিন্তা গরে লোক মনত মনত কইয়্যরে অ্যাঁই পানি দিয়্যুম
রাতে সে গিয়ে একটা পুকুরে দিয়ে আসে,রাইতে ইতে গিয়্যি উজ্ঞো পইরত অ্যাইয়ে
রাজা তার পুকুর দেখতে আসে,রাজা ইতার পইর চ্যাঁইতে অ্যাইয়ে
এটি পুকুর পানি তে ভরা,ইবে পইর পানি তে ভরা
কেন এখানে দেখা যাচ্ছে না,কিল্লাই ইয়েন দেহা ন যার
রাজার পুকুর অনেক বড় আর সুন্দর,রাজার পইর বহুত ডঁর আর সুন্দর
সব লোক মনে করে অন্য মানুষ দুধ দেবে,হক্কল লোক মনত গরে অন্য মানুষ দুধ দিব্যু
তাই আমি পানি দেই সেখানে,তাই অ্যাঁই পানি দ্যি ওডে
আর এমন করে রাজার পুকুর পানিতে ভরে গেল,আর এন গরে রাজার পইর পানিত ভরি গিল
আজকের এসব গল্প খুব সুন্দর,আজিয়ের এগিন গফ বহুত সুন্দর
একটা সকালে সে তার কাছে থেকে গল্প শুনে,উজ্ঞো বেইন্যে ইতে ইতার হাছে তুন গফ শুনি
সে বাংলাদেশ থেকে বেড়ায় এসেছে,ইতে বাংলাদেশ তুন বেড়ায় আইসসে
গাছ নিয়ে একটা মজার গল্প,গাছ লইয়্যে উজ্ঞো মজার গফ
তার সাথে তার বোন যোগ দিয়েছে,ইতার লগে ইতার বইন যোগ দিইয়্যি
গ্রামে একটা রাখাল ছেলে সে,গ্রামত উজ্ঞো রাহাল ফোয়া ইতে
হঠাৎ সে কি মনে করে চলে গেল,আতিক্কে ইতে কি মনত গরে চলি গিল
একটা পিঠা মাটিতে ফেলে দেয়,উজ্ঞো পিডা মেডিত ফেলায় দে
প্রতিদিন সে টাকা দেয় সেখানে,ফত্তিন ইতে টিঁয়া দে ওডে
অনেক পরে রাখাল দেখল,বহুত ফরে রাহাল চ্যাঁইল
হঠাৎ করে সেখানে একটা গাছ হয়েছে,আতিক্কে গরে ওডে উজ্ঞো গাছ হইয়্যে
পিঠার গাছ বড় হয়,পিডার গাছ ডঁর অয়
রাখাল পিঠার গাছের পিঠা খায়,রাহাল পিডার গাছর পিডা হায়
আর বন্ধুকে দেয়,আর বন্ধুরে দে
রাখালের আর ধরে না,রাহালঅর আর ন ধরি
পিঠা খেয়ে খেয়ে রাখালের সময় ভাল যায়,পিডা হাই হাই রাহালঅর সমত গম যায়
তাদের সময় এখন ভাল,ইতারার সমত এহন গম
একদিন একটা বুড়ি আসে,একদিন উজ্ঞো বুড়ি অ্যাইয়ে
সে রাখালের কাছে একটা পিঠার আবদার করল,ইতে রাহালঅর হাছে উজ্ঞো পিডার আবদার গরিল
কিন্তু রাখাল তাকে কোন পিঠা দেয় না,কিন্তু রাহাল ইতারে হোন পিডা ন দে
সে রাগ বুড়ি চলে যায়,ইতে গুসসা বুড়ি চলি যায়
রাখালকে ভেড়া বানিয়ে ফেলল,রাহালরে ভেড়া বানাই ফেলাইলো
গল্প শুনে মজা পায় তারা,গফ শুনি মজা পায় ইতারা
গল্প আমার কাছে ভাল মনে হল না,গফ অ্যাঁর হাছে গম মনত ন অইল
কিন্তু ছোট বোন গল্প করছে,কিন্তু ছোড বইন গফ গরের
গাছের খাবার আর পানি দেয়,গাছর হানা আর পানি দে
গল্পের সেই পিঠার গাছ,গফের হেই পিডার গাছ
গাছ দেখে সে কি খুশি,গাছ চ্যাঁই ইতে কি খুশি
একটা দেশে অত্যাচারী রাজা ছিল,উজ্ঞো দেশত জালিম রাজা আইসসিল
অনেক অত্যাচার করে সে,বহুত জুলুম গরে ইতে
রাজা সবাইকে নিয়ে শিকার করতে গেল,রাজা অক্কলরে লইয়্যে শিকার গরিতে গিল
শিকার করতে রাজকন্যা ভাল লাগে,শিকার গরিতে রাজকন্যা গম লার
এটি একটা বড় উৎসব,ইবে উজ্ঞো ডঁর উৎসব
রাজা একা একা একটা পিছনে যায়,রাজা একলা একলা উজ্ঞো ফিছে যায়
এসব করতে করতে অনেক দূরে চলে যায়,এগিন গরিতে গরিতে বহুত দূরে চলি যায়
তার অন্য কোন দিকে মন নেই,ইতার অন্য হোন মিক্কে মন নাই
জবাব শুনে রাজা দুঃখ পায়,জোয়াব শুনি রাজা দুক পায়
বলে কি কারণ থাকতে পারে,কইয়্যরে কি হারণ থাইতে ফারে
দয়া করে সেটি আমাকে বলবেন,দয়া গরে ইয়ান অ্যাঁরে হইয়্যুন
আমার মনে হচ্ছে তুমি যে শুধু বোকা,আর মনত অইলদে তুই যে উধে বোকা
রাজা তুমি তো একটা পাগল,রাজা তুই তো উজ্ঞো পল
লোক বলল আমি পাগল,লোক হইলো অ্যাঁই পল
সব শুনলে তুই বুঝবি আমি কে,হক্কল হুনিলে তুঁই বুঝিবি অ্যাঁই কেডা
আমি কোন কথা খুঁজে পাচ্ছি না বাবা,অ্যাঁই হোন হথা তোঁয়াইন ন পাইয়র বাপ
আমার কি সব কথা শেষ হয়ে গেল নাকি,অ্যাঁর কি হক্কল হথা শেষ অই গিল নি
বুঝতে পারছি এখন কি করা দরকার,ঠওর ফারির এহন কি গরা দরহার
আমি কেন পা ভেঙ্গে দিয়েছি,অ্যাঁই কিল্লাই ঠ্যাং ভাঙি দিয়্যি
তার মধ্যে একটা উদ্দেশ্য আছে আমার,ইতার মাজে উজ্ঞো উদ্দেশ্য আছে অ্যাঁর
আমাদের রাজা খুব অত্যাচারী হবে,অ্যাঁরার রাজা বহুত জালিম অইব্যু
তার কথা সবাই জানে নাকি,ইতার হথা বেজ্ঞুনে জানে নি
একটা দেশে একটা সোনার ডিম,উজ্ঞো দেশত উজ্ঞো সোনার দিম
তার ডিম দেওয়া মুরগি ছিল,ইতার দিম দিবে কুরো আইসসিল
প্রতিদিন একটা করে সোনার ডিম পাড়ে,ফত্তিন উজ্ঞো গরে সোনার দিম পারত
তখন মুরগির মালিক বলল,তহন কুরোর মালিক হইলো
এখন থেকে দুইটা করে ডিম পড়তে হবে,এহন তুন দুইয়্যান গরে দিম ফরতে অইব্যু
মুরগি জিজ্ঞাসা করে কেন,কুরো পুঁছার গরে কিল্লাই
মালিক তখন বলে দেশের জন্য,মালিক তহন কইয়্যরে দেশর লাই
তুমি যদি দুইটা করে ডিম দাও,তুই যদি দুইয়্যান গরে দিম দ
তাহলে দেশের অনেক উপকার হবে,তঁইলে দেশর বহুত উপকার অইব্যু
কথা শুনে মুরগি পরের দিন থেকে,হথা শুনি কুরো ফরর দিন তুন
দেশের জন্য দুইটা করে ডিম দেয়,দেশর লাই দুইয়্যান গরে দে
সে ডিম দেওয়া শুরু করে দেয়,ইতে দিম দিবে শুরু গরে দে
মালিকের ডিম অনেক হয়ে গেল,মালিকের দিম বহুত অই গিল
কিছু দিন যাওয়ার পরে মালিক চিন্তা করল,কিসু দিন যনঅর ফরে মালিক চিন্তা গরিল
আর এই দিকে দিয়ে খাবার কম দেয়া,আর এই মিক্কে দি হানা কম দন
মুরগি মালিককে জিজ্ঞাসা করল,কুরো মালিকরে পুঁছার গরিল
আমি এখন দুইটা করে সোনার ডিম পারি,অ্যাঁই এহন দুইয়্যান গরে সোনার দিম পারি
কিন্তু আমার খাবার কম দেয়া হয় কেন,কিন্তু অ্যাঁর হানা হম দন অয় কিল্লাই
তাই তোমার সব খাবার দিয়ে দেই,তাই তোঁয়ার হক্কল হানা দি দ্যি
যে না খেয়ে আছে তাকে দিতে হবে,যে ন হাই আছে ইতারে দন অইব্যু
একটা বনে দুইটা বাঘ থাকে,উজ্ঞো বনত দুইয়্যান বাঘ থাহে
তার জ্বালায় আতঙ্ক,ইতার জ্বালাত আতঙ্ক
পাখি সব সময় ভয়ে থাকে,ফাখি হক্কল সমত ডরে থাহে
সব কিছু রেখে কোথায় চলে গেলে,হক্কল কিসু রাহি হডে চলি গ্যিলে
নিয়ে মজা করে খেতে,লইয়্যে মজা গরে হাইতে
অনেক দিন খুঁজে পাই না,বহুত দিন তোঁয়াইন ন পাই
বাঘ মামা শিয়ালের উপরে রাগ,বাঘ মামা শিয়ালর উদ্দি গুসসা
শিয়াল এখন ভয়ে ভয়ে আছে,শিয়াল এহন ডরে ডরে আছে
কখন যে ডাকে পড়ে শিয়ালকে,কহন যে ডাহে শিয়ালরে
এই ভয়ে শিয়াল ঘুরে বেড়ায়,এই ডরে শিয়াল ঘুরি বেড়ায়
শেষ পর্যন্ত ছাড়া পায় না শিয়াল,শেষ পইযুন্ত ছাড়া ন পায় শিয়াল
ডাক পড়ে শিয়ালের,ডাক ফড়ি শিয়ালর
শিয়াল তো ভয়ে শেষ,শিয়াল তো ডরে শেষ
কিন্তু শিয়াল তা বুঝতে না দিয়ে,কিন্তু শিয়াল তা ঠওর ন দি
একদিন কাছে এসে হাজির,একদিন হাছে আই হাজির
ভাল যাচ্ছে না দিন তার,গম ন যার দিন ইতার
মুরগি ঘরে এখন ভাল আছে,কুরো ঘরত এহন গম আছে
আমি বুঝি শেষ আজকে,অ্যাঁই বুজি শেষ আজিয়ে
ক্ষুধা জ্বালায় মরে যাচ্ছি সবাই,ভুগ জ্বালাত মরি যাইরগুই বেজ্ঞুনে
মামার কানে যেতে রাগ গেছে,মামার হানত যাইতাম গুসসা গেইয়্যে
তোর ডাক পড়ে আবার,তুঁর ডাক ফড়ি আবার
শিয়াল আসে তার কাছে আর থাবা দিয়ে,শিয়াল অ্যাইয়ে ইতার হাছে আর থাবা দি
শিয়ালকে ধরে বলে আমি জানি না,শিয়ালরে ধরি কইয়্যরে অ্যাঁই ন জানি
আর আমার বিয়ে না আজকে,আর অ্যাঁর বিয়া ন আজিয়ে
কথা শুনে তার মন গলে গেল,হথা শুনি ইতার মন গলে গিল
তাহলে আমাকে ভালোবাসে তো ঠিক বলেছে,তঁইলে অ্যাঁরে ভালোবাসে তো ঠিক হদ্দে
বয়স তো কম হচ্ছে না,বয়স তো হম ন অইলদে
রাজ্যের জন্য বিয়ে করার কথা তো ভুলে গেছে,রাজ্যর লাই বিয়া গরিবের হথা তো ভুলে গেইয়্যে
মামা ভয় দিয়ে তো সব জয় করতে হয়,মামা ডর দি তো হক্কল জয় গরিতে অয়
চিন্তা তোর করা লাগবে না,চিন্তা তুঁর গরা ন লাইব্যু
কালকে বিয়ে তুই ব্যবস্থা কর,হালিয়্যে বিয়া তুঁই ব্যবস্থা গর
এই দিকে সবাইকে যেয়ে বলে,এই মিক্কে অক্কলরে য্যাই কইয়্যরে
