Sentence #,Standard_Bangla,Chittagong,Sylhet,Noakhali,Mymensingh,Barishal
2194,আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,আর আম্মু আরে বেয়াক্কুনর সাম্নদ্দি মাইত্তে মাইত্তে বাসাত লই গিয়ি,আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে,আর আম্মা আরে বেকের সামনে মাইরতে মাইরতে বাইত লই আইছে,আমার আম্মা আমারে বেহের  সামনে মারতে মারতে বাসায় নিয়া আয়,মোর মায় মোরে বেবাকটির সামনে পিডাইতে পিডাইতে বাড়ি লইয়া আইছে
2195,আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,অনে কি জানন্না এডে বহুত মরত ফোয়া কমেন্ট ফরিবেল্লাই আইবদে,আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,আন্নে কি জানেন নি ইয়ানে মেলা হোলা আইবো কমেন্ট কইরতো,আফনে কি জানেন  এইহানে মেলা ছেড়া কমেন্ট পড়তে আইব,আমনে কি জানেন এইহানে ম্যালা পোলা কমেন্ট পড়তে আইবে
2196,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,আবেগর ভালোবাসা হনিক্কারে দন উছিত নয়,আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,আবেগের ভালোবাসা কাওরে দেন উচিত নো,আবেগের ভালোবাসা কাউরে দেওয়ন উচিত না,আবেগের ভালবাসা কাউরে দেওয়া উচিত না
2197,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,একদিন বিবেগর ভালোবাসার হাসে আবেগর ভালোবাসা হারি জাইব দে,একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,একদিন বিবেকের কাছে আবেগের ভালোবাসা হারি যাইবো,একদিন বিবেকের কাসে আবেগের ভালবাসা হাইরা যাইব,একদিন বিবেকের ধারে ভালোবাসা ঠইজ্ঞা যাইবে
2198,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,আর মনর ভালোবাসা চিরদিন তোয়ার লাই তাকি জাইব দে,আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো,আর মনের ভালোবাসা হারাজীবন তোর লাই থাই যাইবো,আমার মনের ভালবাসা চিরদিন তোমার লাইজ্ঞা থাইক্কা যাইব,মোর মনের ভালবাসা আজিবন তোমার লইজ্ঞা থাইক্কা যাইবে
2199,জীবনে একা একা পথ চলা অনেক কঠিন,জীবনে এহলা এহলা ফথ চলন বহুত কঠিন,জীবনে একলা একলা ফথ চলা অনেক কঠিন,জীবনে একলা একলা পত চলা মেলা কডিন,জীবনে একলা একলা পথ চলা মেলা কঠিন,জীবনে একলা একলা পথ চলা ম্যালা কঠিন
2200,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,আর জীবন আই তোয়ারেলই বাইচতাম দিউম,আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,আর জীবন আই তোরে লই বাইচবার লাই দিমু,আমার জীবন আমি তোমারে নিয়া বাঁচার লাইজ্ঞা দিয়াম,মোর জীবন মুই তোমারে লইয়া বাচার লইজ্ঞা দিমু
2201,আমার ভালবাসা দিয়ে সারাজীবন তোমার পাশে থাকতে চাই,আর ভালোবাসা দিয়েরে সারাজীবন তোয়ার ফাশে তাইক্তাম চাই,আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,আর ভালোবাসা দি আই সারাজীবন তোর লগে থাইক্তাম চাই,আমার ভালবাসা  দিয়া  সারাজীবন তোমার পাশে থাকতাম চাই,মোর ভালোবাসা দিয়া আজীবন তোমার ধারে থাকতে চাই
2202,তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি,তোয়ারে কেনে বুঝাইতাম আই তোয়ারে হতকান ভালোবাসি?,তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,তোরে কেন্নে বুঝাইতাম তরে আই কত ভালোবাসি,তোমারে কেমনে বুঝায়াম তোমারে কতটা ভালবাসি?,তোমারে ক্যামনে বুঝামু তোমারে কতডা ভালবাসি?
2203,আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,অনেরে দেহিয়েরে আই থমকি দারাই আসিলাম,আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,আন্নেরে দেই আই এক্কারে খাড়াই গেছিলাম,আফনেরে দেইক্ষা আমি  থমকায়া খাড়ায়া আসিলাম,আমনেরে দেইকখা মুই থমকাইয়া খারাইয়া আল্লাম
2204,আপনি খুব কষ্টে নিজেকে সামলে নিয়েছেন,অনে কিখুব হষ্ট গরিয়েরে নিজেরে মেনেজ গইজ্জেন,আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,আন্নে মেলা কস্টে নিজেরে হামালি লইছেন,আফনে মেলা কষ্টে নিজেরে সামলায়া নিসেন,আমনে বেমালা কষ্টে নিজেরে সামলাইয়া নেছেন
2205,আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে ছাড়া,আর বান্ধুবি আরে ছাড়া কিছু ভাবিত ন ফারের,আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,আর বান্ধুবি কিছু ভাইবদো হারে না আরে হালাই,আমার বান্ধুবি কিসু ভাবতে পারেনা আফনেরে  ছাড়া,মোর বান্ধুবি কিছু ভাবতে পারেনা আমনেরে থুইয়া
2206,আমার বন্ধু কিছু লিখতে পারেনা আপনার নাম ছাড়া,আর বন্ধু কিছু লিখিন্নোফারে অনের নাম্মান ছাড়া,আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,আর বন্ধু কিছু লিকতো হারে না আরে নাম হালাই,আমার বন্ধু কিসু  লিখতে পারেনা  আফনের নাম ছাড়া,মোর দোস্ত কিছুই ল্যাখতে পারেনা আমনের নাম ছাড়া
2207,আপনাকে ভালোবাসি এই কথাটি বলা বাকি,অনেরে ভালোদবাসি হতা ইবা হন বাকি,আফনারে ভালাফাই এই কথাটি বলার বাকি,আন্নেরে ভালোবাসি ইয়ান কন বাকি,আফনেরে ভালবাসি  এই কথাডা কওন বাকি,আমনেরে ভালবাসি এই কথাডা কওয়া বাকি
2208,আমার আব্বুর খুব গরম লাগছে,আর আব্বু্তুন খুব গরম লাইজ্ঞেদে,আমার বাফর খুব গরম লাগছে,আর আব্বার মেলা গরম লাগের,আমার আব্বার মেলা গরম লাগতাসে,মোর আব্বার বেমালা গরম লাগতেয়াছে
2209,আমার ছোট বোনের গরম লাগছে,আর ভইন ছোড ইবার গরম লাইজ্ঞে,আমার ছোট বোইনর গরম লাগছে,আর ছোড বইনের গরম লাগের,আমার ছোট বইনের গরম লাগতাসে,মোর ছোডো বুইনের গরম লাগতেয়াছে
2210,এই শিশুটির অনেক ঠাণ্ডা লাগছে,এই শিশু ইবার বহুত ঠান্ডা লাইজ্ঞে,এই শিশুটার অনেক ঠান্ডা লাগসে,এই হোলাগার মেলা ঠান্ডা লাইগছে,এই আবুডার মেলা ঠাণ্ডা লাগতাসে,এই গেদুডার বেমালা ঠান্ডা লাগছে
2211,আমার বন্ধুর খুব মন খারাপ,আর বন্ধুর মন্নান হারাফ,আমার বন্ধুর খুব বিতর খারাফ,আর বন্ধুর মেলা মন খারাপ,আমার বন্ধুর মেলা মন খারাপ,মোর দোস্তের বেমালা মন খারাপ
2212,আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,আর আম্মু আর লাই নীল শাড়ি কিনি আইন্নে,মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,আর আম্মা আর লাই নীল রঙের কার কিনছে,আম্মা আমার লাইজ্ঞা নীল শাড়ি কিন্না আনসে,মায় মোর লইজ্ঞা নীল কাপুড় কিন্না আনছে
2213,আমি আমার বন্ধুকে একটি লাল গোলাপ কিনে উপহার দিয়েছি,আই আম্র বন্ধুরে এক্কান লাল গোলাফ কিনি উফহার দিয়ি,মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,আর বন্ধুরে ওগগা লাল গোলাপ কিনি উপহার দিছি,আমি আমার বন্ধুরে  একটা লাল গোলাপ কিন্না উপহার দিসি,মুই মোর দোস্তরে এউক্কা লাল গোলাপ কিন্না উপহার দিছি
2214,আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,আই আর জামাইর ফোয়ারিত বিকালত গুইত্তাম জাইয়ুম দে,মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,আই আর স্বামীর লগে বিয়ালে পার্কে ঘুইত্তাম যামু,আমি আমার জামাইয়ের সাথে বিকালে পার্কে ঘুরতে যায়াম,মুই মোর জামাইর লগে বিকালে পার্কে ঘোরতে যামু
2215,কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,হনিক্কারে ভালোবাসা দিতাম বেশি আনন্দ লাগে দে,কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,কাওরে ভালোবাসা দিতেই ভাল্লাগে আর,কাউরে ভালবাসা দেওনেই বেশি আনন্দ লাগে আমার,কাউরে ভালবাসা দেওনেই বেশি আনন্দ লাগে মোর
2216,যদি তুমি আমার কাছে ফিরে আস তবে তাকে ছেড়ে দাও,"যদি তুই আর হাসে ফিরি আইয়, তইলে তারে ছাড়ি দো","যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও",যদি তুই আর কাছে হিরি আইয়ো তই হিগারে ছারি দো,"যদি তুমি আমার কাসে ফিরা আও ,তাইলে তারে ছইড়া দেও","যদি তুমি মোর ধারে ফিররা আও, তয় হ্যারে ছাইররা দেও"
2217,সে তোমার জন্য সব কিছু করতে পারে,সে তোয়ার লাই বেক কিছু গরিত্তারে,সে তোমার লাগি সব কিছু করতে ফারে,হেতে তোয়ার লাই বেক কিছু কইরতাম হারে,হেয় তোমার লাইজ্ঞা বেগ কিসু করতে পারে,হ্যায় তোমার লইজ্ঞা হগল কিছু করতে পারে
2218,আপনি যে মানুষটিকে ভালবাসবেন তাকে যদি না বুঝতে পারেন তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,অনে যে মানুষোরে ভালোবাসিবান তারে যদি নো বুঝিত্তারন তাইলে অনে এই ফ্রেমর হোনো মানে নাই,আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,আন্নে যে মানুষগারে ভালোবাসবেন হিগারে যদি আন্নে না বুঝতেন হারেন তাইলে আন্নের এই প্রেমের কোন অর্থই নাই,আফনে যে মানুষটরে ভালবাসবেন  তারে যদি না বুঝতে পারেন  তাইলে আফনের এই প্রেমের কোনে অর্থ নাই,আমনে যেই মানুডারে ভালোবাসবেন হ্যারে যদি না বোঝতে পারেন হ্যালে আমনের এই প্রেমের কোন অর্থ নাই
2219,আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,অনে নিজে অসুখী অইয়েরে কেনে অন্যরে ভালোবাসিয়েরে খুসি গরিবান,আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,আন্নে নিজে অসুখী হই কেন্নে আরিকগা রে ভালোবাসি সুখি করতে হাইরবেন,আফনে নিজে অসুখী হয়া কেমনে অন্যরে ভালবাইসা সুখী করবেন,আমনে নিজে অসুখী হইয়া ক্যামনে অন্যরে ভালোবাইসসা সুখী করবেন?
2220,তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,তুই হার জীবনত সুখ আনি দিবা এইল্লে গরি ফ্রেম গরন উচিত,তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,তুই কারো জীবনে সুখ আনি দিবা এই কথা ভাবি তোওয়া ফ্রেম করা উচিত,তুমি কারো জীবনে সুখ আইন্না দিবা এই ভাইব্বা তোমার প্রেম করন উচিত,তুমি কাউরো জীবনে সুখ আইননা দেবা হেইয়া ভাইব্বা তোমার প্রেম করা উচিত
2221,আপনার মনের কথা গুলো আমাকে আজ খুলে বলুন,অনের মনর হতা ইন আরে আজিয়া খুলি হন,আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন,আন্নের মনের কথসা এগিন আরে আইজ্জা খুলি কন,আফনের  মনের কথা গুলা আমারে আজকে খুইল্লা কন,আমনের মনের কথা গুলান মোরে আইজ খুইল্লা কন
2222,তুমি কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,তুই হোনো সমত নো ফারিবা হনিক্কার ভালোবাসা ছিনিইয়েরে লইতা,তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,তুই কাখনই হাইত্তাম্নো আন্য কারর ভালোবাসারে ছিনাই লইতা,তুমি  কহনই পারতা না অন্য কারও ভালোবাসারে ছিনায়া নিতে,তুমি কহনই পারবা না অন্য কাউরো ভালোবাসা ছিনাইয়া নেতে
2223,তুমি জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,তুই জোর গরিয়েরে আন্য আরেকজনর ভালোলাগার মানুষ অইন্নো ফারিবা,তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,তুই জোর করি অন্যের ভালো লাগার মানুষ অইতা হাইত্তা নো,তুমি  জোর কইরা অন্যের ভাল লাগার মানুষ হইতে পারবা না,তুমি জোর কইররা অন্যের ভালো লাগার মানু হইতে পারবা না
2224,আগামিকাল সকালবেলা তাদেরকে দেখতে পাবেন,আগামি হালিয়া সকালত তারারে দেখিত্তারিবান,আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,আগোমি কাইল্লা বেয়ানে হেতের গরে দেখতে হাইরবেন,কালকে সকালবেলা  তারারে দেখতে পারবেন,কাইলগো বেইন্নাহালে হ্যাগোরে দ্যাখতে পাইবেন
2225,তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,তোয়ার হোন হতাত হোনও কিশ্চয়তা নাই,তোমার কোনো মাতই কোনোও হদিস নাই,তোয়ার কোন কথাত্তে কোন নিশ্চয়তা নাই,তোমার কোন কথাতেই কোনও নিশ্চয়তা নাই,তোমার কোন কথাতেই কোন নিশ্চয়তা নাই
2226,আমার অনেক ভালো লাগে কালো ওই চোখ দুটো তোমার,আত্তু্তুন বহুত ভালো লাগেদে অই হালা চখ দুইয়ান,আমার অনেক ভালা লাগে কালা ওই চোউখ দুইটা তোমার,আর অনেক ভালা লাগে কালো অই দুইয়ান চোখ তোওার,আমার মেলা ভালা লাগে কালা  ওই চোখ দুইটা তোমার,মোর বেমালা ভালো লাগে কালা ওই চক্ষু দুইডা তোমার
2227,তোমাকে একটি গোলাপ ফুল কিনে দিবো,তোয়ারে এক্কান গোলাপ ফুল কিনি দিয়ুম,তোমাকে একটা গোলাপ ফুল কিনিয়া দিমু,তোয়ারে এক্কান গোলাপ হুল কিনি দিসি,তোমারে একটা গোলাপ ফুল কিন্না দিইয়াম,তোমারে এউক্কা গোলাপ ফুল কিন্না দিমু
2228,আমার এই মন তোমাকে দিলাম,আর এই মন্নান তোয়ারে দিলাম,আমার এই বিতর তোমারে দিলাইলাম,আর এই মন তোয়ারে দিলাম,আমার এই মন তোমারে দিলাম,মোর এই মন তোমারে দেলাম
2229,তোমার হাজার কথার মাঝে তোমার মনের কথা লুকিয়ে ছিল,তোমার হাজার হথার মঝত তোয়ার মনর হতা লুয়াই তাইক্কে,তোমার হাজার মাতর মাঝে তোমার মনের মাত লুকাইয়া ছিল,তোয়াার হাজার কথার মাঝে তোয়ার মনের কথা লুকাই আসে,তোমার হাজার কথার মাঝে তোমার  মনের কথা লুকায়া আসিল,তোমার হাাজার কথার মইধ্যে তোমার মনের কথা পলাইয়া আল্লেহ
2230,একটা মানুষের সব কথা একদিনে মুখে বলে দেওয়া যায়না,এক্কান মানুষর সব হতার এক্কান দিনত মুখত হই দন ন যায়,একটা মানুষের সব মাত একদিনে মুখে বলে দেওয়া যায় না,এক্কান মানুষের বেগ কথা একদিনে মুখে বুলি দন জায়না,একটা মানুষের বেগ কথা একদিনে মুহে কয়া দেওয়ন যায়না,এউক্কা মানুর হগল কথা একদিনে মুখে কইয়া দেওয়া যায়না
2231,আমার হাজার কথার মাঝে ওই একটা কথা তোমাকে বুঝে নিতে হবে,আর হাজার হতার মাঝত অই এক্কান হতা তোয়ার বুঝিয়েরে লন ফরিব,আমার হাজার মাতর মাঝে ওই একটা মাত তোমারে বুজে নিতে অইবো,আর হাজার কথার মাঝে অই এক্কান কথা তোয়ারে বুঝি নন লাইগবো,আমার হাজার কথার মাঝে ওই একটা কথা তোমারে বুইজ্ঝা নিতে হইব,মোর হাজার কথার মইধ্যে ওই এউক্কা কথা তোমারে বুইজঝা নেতে হইবে
2232,আমি যতদিন বেঁছে থাকি আপনাকে মনে রাখবো,আই জতদিন বাসি তাহি অনেরে মনত রাইক্কুম,মুই যতদিন বাছিয়া থাকি আফনারে বিতর রাখমু,আই যতদিন বাসি আসি আন্নেরে মনে রাখমু,আমি যতদিন বাইচ্চা থাহি আফনেরে মনে রাখবাম,মুই যতদিন বাইচচা থাহি আমনেরে মনে রাখমু
2233,আমার যত কষ্ট হোক তোমাকে নিয়ে আমি জীবন সাজাবোই,আর জীতই হষ্ট উক আই তয়ারে লই জীবন সাজাইয়ুম,আমার যত কষ্ঠ হোক তোমারে নিয়া আমি জীবন সাজাইমু,আর যত কষ্ট অক তোওয়ারে,আমার যত কষ্ট হোক তোমারে নিয়া আমি জীবন সাজায়ামই,মোর যত কষ্ট হোক তোমারে লইয়া মুই জীবন সাজামুই
2234,তোমার পড়াশোনা করে কি হবে যদি তুমি যাকে ভালোবাসো তাকেই না পাও,তোয়ার ফোন্না ফরিয়েরে লাবহান কি যদি তুই যারে ভালোবাসো তারেই ন ফো,তোমার ফড়াশোনা করিয়া কিতা অইবো যদি তুমি যারে ভালোফাও তারেই না ফাও,তোয়ার হরালেয়া করি কিয়া অইবো যদি তুই যারে ভালোবাসো হেতারেই নাহাও,তোমার পড়াশুনা কইরা  কিতা হইব যদি তুমি যারে ভালবাসো তারেই  না পাও,তোমারে পড়াল্যাহা কইররা কি হইবে যদি তুমি যারে ভালবাসো হ্যারেই না পাও
2235,চাঁদের মিষ্টি আলো দেখতে আমার খুব ভালো লাগে,চাদর মিষ্টি আলো দেখিতাম আর বহুত ভালো লাগে দে,চাঁদের মিষ্টি ফর্সা দেখতে আমার খুব ভালা লাগে,চাঁদের মিষ্টি আলো দেখতাম আর খুব ভালা লাগে,চাঁদের মিষ্টি আলো দেখতে আমার মেলা ভালা লাগে,চান্দের মিষ্টি আলো দ্যাখতে মোর বেমালা ভালো লাগে
2236,আমাদের ঘরের প্রতিটি রুম ফুল দিয়ে সাজিয়ে রেখেছি,আরার গরর বেয়াক্কুন রুম ফুল দিয়েরে সাজাই রাইক্কি,আমাদের ঘরের প্রতিটা রুম ফুল দিয়া সাজিয়া রাখছি,আংগ্গো ঘরের বেক রুম হুল দি সাজাই রাইকছি,আমরার ঘরের প্রতিডা রুম ফুল দিয়া সাজায়া রাখসি,মোগো বাড়ির পেরতেক ঘর ফুল দিয়া সাজাইয়া থুইছি
2237,মাছের বাজারে সবাই এসে বড় মাছটি দেখার জন্য ভিড় জমালো,মাসর বাজারত বেয়াক্কুন আইয়েরে ডর মাস দেহিবেরলাই ভির জমাইয়ে,মাছের বাজারে হকল আইয়া বড় মাছটক দেইখ্খার লাগি ভিড় জমাইলো,মাছের বাজারে বেঁকে বড় মাছ দেখবার লাই ভিড় কইচ্ছে,মাছের বাজারে বেহেই আয়া বড় মাছটা দেহার লাইজ্ঞা ভিড় জমাইলো,মাছের বাজারে হগলডি আইয়া বড় মাছটা দেহার লইজ্ঞা ভিড় করছে
2238,আমার বিয়ে করার জন্য আরেকটা দিন এগিয়েছে,আর বিয়ার আরেক্কান দিন আগাইয়ে,আমার বিয়া করার লাগি আরেকদিন আগাইছে,আর বিয়া কইরবার লাই আরোগ্গা দিন আগাইছে,আমার বিয়া করনের লাইজ্ঞা আরেকটা দিন আগাইসে,মোর বিয়া করার লইজ্ঞা আরেকটা দিন আগাইছে
2239,দুজনে মিলে দুরে কোথাও ঘুরে আসতে পারি,দুইজন মিলিয়েরে হোনমিক্কা ঘুরি আইত্তাম ফারি,দুজনে মিলিয়া দুরে কোনকানো ফাকাইয়া আইতে ফারি,দুইজন মিলি দূরে কোনআনে ঘুরি আইতাম হারি,দুইজনে মিল্লা দুরে কোনোখানে ঘুইরা আইতাম পারি,দুইজনে মিললা দূরে কোনহানে ঘুইররা আইতে পারি
2240,আকাশের নীলে হারিয়ে যেতে চাই তোমায় নিয়ে,আকাশর নিলত হারাই যাইতাম চাই তোয়ারে লই,আকাশর নীলে কোয়াইয়া যাইতে চাই তোমায় নিয়া,আকাশের নীলে আরাই যাইতাম চাই তোয়ারে লই,আকাশের নীলে হারায়া যাইতাম  চাই তোমারে নিয়া,আকাশের নীলে হারাইয়া যাইতে চাই তোমারে লইয়া
2241,আপনার জন্য মনে আমার অফুরন্ত ভালবাসা,অনের লাই মনত আর অফুরন্ত ভালোবাসা,আফনার লাগি বিতরে আমার অফুরন্ত ভালোবাসা,আন্নের লাই মনে আর অফুরন্ত ভালোবাসা,আফনের লাইজ্ঞা মনে আমার অফুরন্ত ভালবাসা,আমনের লইজ্ঞা মনে মোর একছের ভালোবাসা
2242,আমি সারা জীবন আপনার ভালবাসা পেতে চাই,আই সারাজীবন অনের ভালোবাসা ফাইতাম চাই,মুই সারা জীবন আফনার ভালোবাসা ফাইতে চাই,আই হারাজীবন আন্নের ভালোবাসা হাইতাম চাই,আমি সারা জীবন আফনের ভালবাসা পাইতাম চাই,মুই হারাজীবন আমনের ভালবাসা পাইতে চাই
2243,আমি এবং আমার ছোট বোন একসাথে সাঁতার কাটি,আই এবং আর ভইন ছোড ইবা সাতার হাডি,মুই এবং আমার ছোট বোন একসাথে হাতার কাটি,আই আর আর ছোড বইন একলগে হাতোর কাডি,আমি এবং আমার ছোট বইন একসাথে হাতুর কাটি,মুই আর মোর ছোডো বুইন একলগে হাতোর কাডি
2244,তোমাকে নিয়ে সুখের পৃথিবী সাজাতে চাই,তোয়ারে লই শুখর দুনিয়া সাজাইতাম চাই,তোমারে নিয়া সুখের পৃথিবী সাজাতে চাই,তোয়ারে লই সুখের হীতিবী সাজাইতাম চাই,তোমারে নিয়া সুখের পৃথিবী সাজাইতাম চাই,তোমারে লইয়া সুখের পিরথিবি সাজাইতে চাই
2245,আজ সিলেটে বৃষ্টি হবে,আজিয়া সিলেটত বিষ্টি ফরিব দে,আইজ সিলেট বৃষ্টি অইবো,আইজগা সিলেটে বৃষ্টি অইব,আইজ সিলেটে বৃষ্টি হইব,আইজগো সিলেটে বইশ্যা হইবে
2246,তোমার মিথ্যা ভালবাসা একদিন হেরে যাবে,তোয়ার মিসা ভালোবাসা একদিন হারি জাইব দে,তোমার মিথ্যা ভালোবাসা একদিন হারিয়া যাইবো,তোয়ার মিথ্যা ভালোবাসা একদিন হারি যাইব,তোমার মিথ্যা ভালবাসা একদিন হারাইয়া যাইব,তোমার মিছা ভালোবাসা একদিন ঠইজ্ঞা যাইবে
2247,আমার সত্যের ভালবাসা কোনদিনও হারবে না,আর হাসা ভালোবাসা হোন দিন ন হারিবো,আমার হাচা ভালো ফাওয়া কোনোদিনও কোয়াইবে না,আর সত্যির ভালোবাসা কোনদিন হাইরতো নো,আমার সত্যের ভালবাসা কোনদিনও হারতো না,মোর সত্যর ভালবাসা কোন্দিনো ঠকবে না
2248,এই গানটি আমার খুব ভালো লাগে,গান ইবা আর খুব ভালো লাগে দে,এই গানটি আমার খুব ভালা লাগে,গান ইগা আর মেলা ভাল্লাগে,এই গানডা আমার খুব ভালা লাগে,এই গানডা মোর বেমালা ভালো লাগে
2249,তোমাকে অসম্ভব সুন্দরী লাগে,তোয়ারে অসম্ভব সুন্দর লাগেদে,তোমারে অসম্ভব সুন্দরী লগের,তোয়ারে অসম্ভব সুন্দর লাগে,তোমারে অসম্ভব সুন্দরী লাগে,তোমারে একছের সুন্দর লাগে
2250,আপনার কি এখনও আপনার ভালোবাসার মানুষটার কথা মনে পড়ে,অনের কি এহোন অনের ভালোবাসার মানুষ ইবার হতা মনত ফরে না,আফনার কিতা এখনও আফনার ভালোফাওয়ার মানুষটার মাত মনে পড়ে,আন্নের কি অনো আর ভালোবাসার মানুষগার কতা মনে হড়ে,আফনের কি এহনও আফনের  ভালবাসার মানুষটার কথা মনে পড়ে?,আমনের কি এহনো আমনের ভালবাসার মানের কথা মনে পরে
2251,তোমার সাথে দেখা হলেই পুরাতন ইতিহাস মনে পড়ে যায়,তোয়ার ফোয়ারিত দেহা অইলেই ফুরান ইতিহাস মনত ফরে দে,তোমার লগে দেখা হলেই আগর  ইতিহাস মনে পড়ে যায়,তোয়ার লগে দেখা অইলেই পূরান ইতিহাস মনে হড়ি যায়,তোমার লগে দেহা হইলেই পুরান ইতিহাস মনে পইড়া যায়,তোমার লগে দ্যাহা হইলেই পুরান ইতিহাস মনে পইররা যায়
2252,এই ছবির নীল আকাশ অনেক সুন্দর,এই ছবি ইয়ানর নিল আকাশ বহুত সুন্দর,এই ছবির নীল আকাশ অনেক সুন্দর,এই ছবির নীল আকাশ মেলা সুন্দর,এই ছবির নীল আকাশ মেলা সুন্দর,এই ছবির নীল আকাশ বেমালা সুন্দর
2253,তুমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবে আমি আর নেই,তুই এক সন্ধাত আফিসেত্তুন বাসায় আইয়েরে দেখিবা আই আর নাই,তুমি এক হাইনজা অফিসে থাকি বাসায় ফিরে দেখবা মুই আর নাই,তুই এক সন্ধ্যায় অফিসের তুন বাসাত আই দেইকবা আই আর নাই,তুমি  এক সন্ধ্যায় অফিস থাইক্কা বাসায় ফিরা দেখবা আমি আর নাই,তুমি এক সন্ধ্যায় অফিসে গোনে বাড়ি ফিররা দ্যাখবা মুই আর নাই
2254,তোমার কন্যা তোমাকে অনেক ভালবাসে,তোওয়ার মাইয়া ফোইয়া তোয়ারের বহুত ভালোবাসে দে,তোমার কইন্না তোমারে অনেক ভালাফায়,তোয়ার কইন্যা তোয়ারে মেলা ভালোবাসে,তোমার মাইয়া তোমারে মেলা ভালবাসে,তোমার মাইয়া তোমারে বেমালা ভালবাসে
2255,আমার মাঝে মাঝে চিৎকার করে কাঁদতে ইচ্ছে করে,আর মাঝে মাঝে চিল্লাইয়েরে হাইন্তাম মনত চায় দে,আমার মাঝে মাঝে চিৎকার করিয়া কান্দিতে জানে কয়,আর মাঝে মইধ্যে চিল্লাই কাইনতাম ইচ্ছা হয়,আমার মাঝে মাঝে চিক্কুর দিয়া কাঁনতে ইচ্ছা করে,মোর মাঝে মাঝে চিল্লাইয়া কানতে ইচ্ছা করে
2256,তুমি চলে যাওয়ার পর আমার জীবন থেমে গেছে,তুই চোলি জাইবার ফরদ্দি আর আর জীবন থামি গিয়ি,তুমি চলে যাওয়ার পর আমার জীবন থামিয়া গেজে,তুই চলি যাইবার হরে আর জীবন থামি গেছে,তুমি চইল্লা যাওনের পর আমার জীবন থাইম্মা গেসে,তুমি চইল্লা যাওয়ার পর মোর জীবন থাইম্মা গ্যাছে
2257,আমার ছোট বোন কেমন যেন শান্ত হয়ে গেছে,আর ভইন ছোড ইবা হইল্লে জানি শান্ত অই গিয়ি,আমার ছোট বোইন কেমনে যানি নিরাই অই গেজে,আর ছোড বইনগা কেক্কান যানি ঠান্ডা অই গেছে,আমার ছোট বইন কেমন যেন শান্ত হয়া গেসে,মোর ছোডো বুইন কেমন যানি শান্ত হইয়া গ্যাছে
