SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
777,এককান হতাও ন হইবা,মাতও আর মাতাবায় না,কথাও আর কইয়ো না,কথাও আর বলবা না,Don’t say a word
778,হতাও ন হইবা,আর মাতাবায় না,আর কইয়ো না,আর বলবা না,Don’t say anything
779,ন হইবা,মাতাবায় না,কইয়ো না,বলবা না,Don’t say
780,এককান হতাও ন হইবা,এখটা মাতও মাতাবায় না,এউক্কা কথাও কইয়ো না,একটা কথাও বলবা না,Don’t say a single word
781,অনরা যারা আরে এইযো ন চিনন,আফনারা যারা মোরে এখনো চিনিন না,আমনেরা যারা মোরে এহনো চেনেন না,আপনা যারা আমাকে এখনো চিনেন না,Those who don’t know me yet
782,যারা আরে এইযো ন চিনন,যারা মোরে এখনো চিনিন না,যারা মোরে এহনো চেনেন না,যারা আমাকে এখনো চিনেন না,Who don’t know me yet
783,আরে এইযো ন চিনন,মোরে এখনো চিনিন না,মোরে এহনো চেনেন না,আমাকে এখনো চিনেন না,Don’t know me yet
784, এইযো ন চিনন,এখনো চিনিন না,এহনো চেনেন না, এখনো চিনেন না,Don’t know yet
785,ন চিনন,চিনিন না,চেনেন না,চিনেন না,Don’t know
786,অনরা  আরে এইযো ন চিনন,আফনারা মোরে এখনো চিনিন না,আমনেরা মোরে এহনো চেনেন না,আপনা আমাকে এখনো চিনেন না,You don’t know me yet
787,অনরা  এইযো ন চিনন,আফনারা এখনো চিনিন না,আমনেরা এহনো চেনেন না,আপনা এখনো চিনেন না,You don’t know yet
788,অনরা ন চিনন,আফনারা চিনিন না,আমনেরা চেনেন না,আপনা চিনেন না,You don’t know
789,চিছানাত লুডি টিভি দেইক্কিলাম,বিছানায় হুতি টিভি দেখাত আছিলাম,হিতাহে হুইয়া টিভি দেখতেয়াছিলাম,বিছানায় শুয়ে টিভি দেখছিলাম,"Lying on the bed, I was watching TV"
790,লুডি টিভি দেইক্কিলাম,হুতি টিভি দেখাত আছিলাম,হুইয়া টিভি দেখতেয়াছিলাম,শুয়ে টিভি দেখছিলাম,"Lying down, I was watching TV"
791,টিভি দেইক্কিলাম,টিভি দেখাত আছিলাম,টিভি দেখতেয়াছিলাম,টিভি দেখছিলাম,I was watching TV
792,চিছানাত টিভি দেইক্কিলাম,বিছানায় টিভি দেখাত আছিলাম,হিতাহে টিভি দেখতেয়াছিলাম,বিছানায় টিভি দেখছিলাম,Watching TV on the bed
793,আহো গুন্ডি উড়াই,চলো তে ঘুড্ডি উড়াই,লও ঘুড্ডি উড়াই,চলো ঘুড়ি উড়াই,Let’s fly a kite
794,গুন্ডি উড়াই,তে ঘুড্ডি উড়াই,ঘুড্ডি উড়াই,ঘুড়ি উড়াই,Fly a kite
795,আহো উড়াই,চলো তে উড়াই,লও উড়াই,চলো উড়াই,Let’s fly
796,আই গুড়া তাকিতে বহুত মেধাবী আছিলাম,আমি ছোটকাল তোনেও মেধাবী আছিলাম,মুই লেদা কালে বেমালা বেধাবী আছিলাম,আমি ছোটবেলায় অনেক মেধাবী ছিলাম,I was very talented in my childhood
797,গুড়া তাকিতে বহুত মেধাবী আছিলাম,ছোটকাল তোনেও মেধাবী আছিলাম,লেদা কালে বেমালা বেধাবী আছিলাম,ছোটবেলায় অনেক মেধাবী ছিলাম,Was very talented in childhood
798,বহুত মেধাবী আছিলাম,তোনেও মেধাবী আছিলাম,বেমালা বেধাবী আছিলাম,অনেক মেধাবী ছিলাম,Was very talented
799,মেধাবী আছিলাম,মেধাবী আছিলাম,বেধাবী আছিলাম,মেধাবী ছিলাম,Was talented
800,আই বহুত মেধাবী আছিলাম,আমি  তোনেও মেধাবী আছিলাম,মুই বেমালা বেধাবী আছিলাম,আমি অনেক মেধাবী ছিলাম,I was very talented
801,আই মেধাবী আছিলাম,আমি মেধাবী আছিলাম,মুই বেধাবী আছিলাম,আমি মেধাবী ছিলাম,I was talented
802,আর নৌকাত ঘুড়িত বহুত বালা লাগে,আমার নৌকা দিয়ে ঘুরতে যে ভালা লাগে,মোর নৌকায় ঘুরতে বেমালা ভালো লাগে,আমার নৌকায় ঘুরতে অনেক ভালো লাগে,I really enjoy boating
803,নৌকাত ঘুড়িত বহুত বালা লাগে,নৌকা দিয়ে ঘুরতে যে ভালা লাগে,নৌকায় ঘুরতে বেমালা ভালো লাগে,নৌকায় ঘুরতে অনেক ভালো লাগে,Enjoy boating a lot
804,ঘুড়িত বহুত বালা লাগে,ঘুরতে যে ভালা লাগে,ঘুরতে বেমালা ভালো লাগে,ঘুরতে অনেক ভালো লাগে,Enjoy traveling a lot
805,বহুত বালা লাগে,যে ভালা লাগে,বেমালা ভালো লাগে,অনেক ভালো লাগে,Enjoy a lot
806,বালা লাগে,ভালা লাগে,ভালো লাগে,আভালো লাগে,Like it
807,আর  ঘুড়িত বহুত বালা লাগে,আমার  ঘুরতে যে ভালা লাগে,মোর ঘুরতে বেমালা ভালো লাগে,আমার ঘুরতে অনেক ভালো লাগে,I enjoy traveling a lot
808,আর বহুত বালা লাগে,আমার যে ভালা লাগে,মোর বেমালা ভালো লাগে,আমার অনেক ভালো লাগে,I like it a lot
809,আর বালা লাগে,আমার ভালা লাগে,মোর ভালো লাগে,আমার ভালো লাগে,I like it
810,জাইল্যা অকল মাছ ধরে,জেলে হখলতে মাছ মারছে,জাইলারা মাছ ধরতেয়াছে,জেলেরা মাছ ধরছে,The fishermen are catching fish
811,অকল মাছ ধরে,হখলতে মাছ মারছে,মাছ ধরতেয়াছে,মাছ ধরছে,Catching fish
812,জাইল্যা মাছ ধরে,জেলে হখলতে মারছে,জাইলারা রতেয়াছে,জেলেরা ধরছে,The fishermen are catching
813,আই আম হাইয়ুম,আমি আম খাইতাম,মুই আম খামু,আমি আম খাবো,I will eat mango
814,আম হাইয়ুম,আম খাইতাম,আম খামু,আম খাবো,Eat mango
815,আই হাইয়ুম,আমি খাইতাম,মুই খামু,আমি খাবো,I will eat
816,আম আর ফ্রিয় ফল,আম ফলটা আমার সব থাকি বেশি ভালা লাগে,আম মোর প্রিয় ফল,আম আমার প্রিয় ফল,Mango is my favorite fruit
817,আর ফ্রিয় ফল,আমার সব থাকি বেশি ভালা লাগে,মোর প্রিয় ফল,আমার প্রিয় ফল,My favorite fruit
818,ফ্রিয় ফল,সব থাকি বেশি ভালা লাগে,প্রিয় ফল,প্রিয় ফল,Favorite fruit
819,আম ফ্রিয় ফল,আম ফলটা সব থাকি বেশি ভালা লাগে,আম প্রিয় ফল,আম প্রিয় ফল,Mango is favorite fruit
820,আজিয়া তুয়ার ভাইর দেইকখি,আইজ তুমাইতান ওর ভাইরে দেখলাম,আইজ তোমার ভাইরে দেখলাম,আজকে তোমার ভাইকে দেখলাম,Today I saw your brother
821,তুয়ার ভাইর দেইকখি,তুমাইতান ওর ভাইরে দেখলাম,তোমার ভাইরে দেখলাম,তোমার ভাইকে দেখলাম,Saw your brother
822,ভাইর দেইকখি,ভাইরে দেখলাম,ভাইরে দেখলাম,ভাইকে দেখলাম,Saw brother
823,আজিয়া ভাইর দেইকখি,আইজ ভাইরে দেখলাম,আইজ ভাইরে দেখলাম,আজকে ভাইকে দেখলাম,Saw brother today
824,তুয়ার গানর গলা বহুত বালা,তুমাইতাইন ওর গান ওর গলা খুব ভালা,তমার গানের গলা মেলা ভালো,তোমার গানের গলা অনেক ভালো,Your singing voice is very good
825,গানর গলা বহুত বালা,গান ওর গলা খুব ভালা,গানের গলা মেলা ভালো,গানের গলা অনেক ভালো,Singing voice is very good
826,গলা বহুত বালা,গলা খুব ভালা,গলা মেলা ভালো,গলা অনেক ভালো,Voice is very good
827,বহুত বালা,খুব ভালা,মেলা ভালো,অনেক ভালো,Very good
828,তুয়ার গলা বহুত বালা,তুমাইতাইন গলা খুব ভালা,তমার গলা মেলা ভালো,তোমার গলা অনেক ভালো,Your voice is very good
829,আই তুয়ার হাসির ফ্রেমত ফরিগি,তুমাইতাইন ওর হাসির প্রমো পরি গেছি আমি,মুই তোমার হাসির প্রেমে পরছি,আমি তোমার হাসির প্রেমে পরেছি,I have fallen in love with your smile
830,তুয়ার ফরিবারত হোন হোন আছে?,তুমাইতাইন ওর বাসাত কে কে আছোইন?,তোমার পরিবারে কেডা কেডা আছে?,তোমার পরিবারে কে কে আছে?,Who is in your family?
831,ফরিবারত হোন হোন আছে?,বাসাত কে কে আছোইন?,পরিবারে কেডা কেডা আছে?,পরিবারে কে কে আছে?,Who is in the family?
832,হোন হোন আছে?,কে কে আছোইন?,কেডা কেডা আছে?,কে কে আছে?,Who all are there?
833,হোন আছে?,কে আছোইন?,কেডা আছে?,কে আছে?,Who is there?
834,ক্রিকেট খেলা তুয়ারতুন কেন লাগে?,তুমাইতাইন ওর ক্রিকেট খেলা কিলা লাগে?,ক্রিকেট খেলা তোমার কেমন লাগে?,ক্রিকেট খেলা তমার কেমন লাগে?,How do you like cricket?
835,খেলা তুয়ারতুন কেন লাগে?,তুমাইতাইন ওর খেলা কিলা লাগে?,খেলা তোমার কেমন লাগে?,খেলা তমার কেমন লাগে?,How do you like playing?
836,তুয়ারতুন কেন লাগে?,তুমাইতাইন ওর কিলা লাগে?,তোমার কেমন লাগে?,তমার কেমন লাগে?,How do you like it?
837,ক্কেন লাগে?,কিলা লাগে?,কেমন লাগে?,কেমন লাগে?,Like it?
838,ক্রিকেট তুয়ারতুন কেন লাগে?,তুমাইতাইন ওর ক্রিকেট কিলা লাগে?,ক্রিকেট তোমার কেমন লাগে?,ক্রিকেট তমার কেমন লাগে?,How do you like cricket?
839,ক্রিকেট কেন লাগে?,তুমাইতাইন ওর কিলা লাগে?,ক্রিকেট কেমন লাগে?,ক্রিকেট কেমন লাগে?,How is cricket?
840,আর এফফোডাও গম ন লাই,আমার একবারেও ভালা লাগে না,মোর ধারে মোডেও ভালো লাগে না,আমার একদমই ভালো লাগে না,I don’t like it at all
841,আর বহুত বালা লাগে,আমার খুব ভালা লাগে,মোর বেমালা ভালো লাগে,আমার অনেক ভালো লাগে,I like it a lot
842,তুয়ার আব্বা কি গরে?,তুমাইতাইন ওর বাবা কিতা করইন?,তোমার বাপে কি করে?,তোমার বাবা কি করেন?,What does your father do?
843,আব্বা কি গরে?,বাবা কিতা করইন?,বাপে কি করে?,বাবা কি করেন?,What does father do?
844,কি গরে?,কিতা করইন?,কি করে?,কি করেন?,What does he do?
845,তুয়ার বাই চকরি হদে গরে?,তুমাইতাইন ওর ভাই কিতাত চাকরি করইন?,তোমার ভাই কম্মে চাকরি করে?,তোমার ভাই কোথায় চাকরি করেন?,Where does your brother work?
846,বাই চকরি হদে গরে?,ভাই কিতাত চাকরি করইন?,ভাই কম্মে চাকরি করে?,ভাই কোথায় চাকরি করেন?,Where does brother work?
847,চকরি হদে গরে?,কিতাত চাকরি করইন?,কম্মে চাকরি করে?,কোথায় চাকরি করেন?,Where does he work?
848,হদে গরে?,চাকরি করইন?,চাকরি করে?,চাকরি করেন?,Works?
849,আই কুড়ার গোস্ত বেশ পছন্দ গরি,আমার মরগ ওর মাংস বেশি ভালা লাগে,মুই মুরহার গোস্তো বেশি পছন্দ করি,আমি মুরগির মাংস বেশি পছন্দ করি,I like chicken meat the most
850,কুড়ার গোস্ত বেশ পছন্দ গরি,মরগ ওর মাংস বেশি ভালা লাগে,মুরহার গোস্তো বেশি পছন্দ করি,মুরগির মাংস বেশি পছন্দ করি,Like chicken meat the most
851,গোস্ত বেশ পছন্দ গরি,মাংস বেশি ভালা লাগে,গোস্তো বেশি পছন্দ করি,মাংস বেশি পছন্দ করি,Like meat the most
852,বেশ পছন্দ গরি,বেশি ভালা লাগে,বেশি পছন্দ করি,বেশি পছন্দ করি,Like the most
853,পছন্দ গরি,ভালা লাগে,পছন্দ করি,পছন্দ করি,Like it
854,আই গোস্ত বেশ পছন্দ গরি,আমার মাংস বেশি ভালা লাগে,মুই গোস্তো বেশি পছন্দ করি,আমি মাংস বেশি পছন্দ করি,I like meat the most
855,তুই কি হাইতো পছন্দ গরো,তুমাইতাইন কিতা খাইতে ভালা ফাও,তুমি কি খাইতে পছন্দ করো?,তুমি কি খেতে পছন্দ করো?,What do you like to eat?
856,কি হাইতো পছন্দ গরো,কিতা খাইতে ভালা ফাও,কি খাইতে পছন্দ করো?,কি খেতে পছন্দ করো?,What do you like to eat?
857,হাইতো পছন্দ গরো,খাইতে ভালা ফাও,খাইতে পছন্দ করো?,খেতে পছন্দ করো?,Like to eat?
858,আই ইচা মাছ হাইতো পছন্দ গরি,আমার ইচা মাছ খাইতে বেশি ভালা লাগে,মুই ইচা মাছ খাইতে পছন্দ করি,আমি চিংড়ি মাছ খেতে পছন্দ করি,I like to eat shrimp
859,ইচা মাছ হাইতো পছন্দ গরি,ইচা মাছ খাইতে বেশি ভালা লাগে,ইচা মাছ খাইতে পছন্দ করি,চিংড়ি মাছ খেতে পছন্দ করি,Like to eat shrimp
860,মাছ হাইতো পছন্দ গরি,মাছ খাইতে বেশি ভালা লাগে,মাছ খাইতে পছন্দ করি,মাছ খেতে পছন্দ করি,Like to eat fish
861,হাইতো পছন্দ গরি,খাইতে বেশি ভালা লাগে,খাইতে পছন্দ করি,খেতে পছন্দ করি,Like to eat
862,কি গরন যে অনে এহন?,কিতা করার আফনে ওখন?,করতেয়াছেন কি আমনে এহন?,কি করছেন আপনি এখন?,What are you doing now?
863,কি গরন যে অনে,কিতা করার আফনে ,করতেয়াছেন কি আমনে ,কি করছেন আপনি,What are you doing?
864,কি গরন যে এহন?,কিতা করার ওখন?,করতেয়াছেন কি এহন?,কি করছেন এখন?,Doing now?
865,আই এগগা বই ফরি,আমি এগু বই পড়ছি,মুই একটা বই পড়তেয়াছি,আমি একটি বই পড়ছি,I am reading a book
866,এগগা বই ফরি,এগু বই পড়ছি,একটা বই পড়তেয়াছি,একটি বই পড়ছি,Reading a book
867,বই ফরি,বই পড়ছি,বই পড়তেয়াছি,বই পড়ছি,Reading book
868,আই বই ফরি,আমি বই পড়ছি,মুই বই পড়তেয়াছি,আমি বই পড়ছি,I am reading a book
869,আনে কি অন্যান্য বই ফরন নে?,আফনে কিতা অন্যান্য বই পড়ছইন নি?,আমনে কি অন্য বই পরছেন?,আপনি কি অন্যান্য বই পড়েছেন?,Have you read other books?
870,অন্যান্য বই ফরন নে?,অন্যান্য বই পড়ছইন নি?,অন্য বই পরছেন?,অন্যান্য বই পড়েছেন?,Read other books?
871,বই ফরন নে?,বই পড়ছইন নি?,বই পরছেন?,বই পড়েছেন?,Read books?
872,তুই কি সরকারি চকরি গরর দে নে?,তুমাইতাইন কিতা সরকারি চাকরি করছ নই?,তুমি কি সরকারি চাকরি করতেয়াছেন?,তুমি কি সরকারি চাকরি করছ?,Do you work in a government job?
873,সরকারি চকরি গরর দে নে?,সরকারি চাকরি করছ নই?,সরকারি চাকরি করতেয়াছেন?,সরকারি চাকরি করছ?,Working in a government job?
874,চকরি গরর দে নে?,চাকরি করছ নই?,চাকরি করতেয়াছেন?,চাকরি করছ?,Working?
875,তুই সরকারি চকরি গরর দে নে?,তুমাইতাইন সরকারি চাকরি করছ নই?,তুমি সরকারি চাকরি করতেয়াছেন?,তুমি সরকারি চাকরি করছ?,Are you doing a government job?
876,তুই চকরি গরর দে নে?,তুমাইতাইন চাকরি করছ নই?,তুমি চাকরি করতেয়াছেন?,তুমি চাকরি করছ?,Are you working?
877,আই একজন সরকারি কর্মকর্তা,আমি একজন সরকারি কর্মকর্তা,মুই একজন সরকারি কর্মকর্তা,আমি একজন সরকারি কর্মকর্তা,I am a government officer.
878,আই সরকারি কর্মকর্তা,আমি সরকারি কর্মকর্তা,মুই সরকারি কর্মকর্তা,আমি সরকারি কর্মকর্তা,I am a government officer.
879,তুই কি চকরি গরর দে নে,তুমাইতাইন কিতা চাকরি করছ নি?,তুমি কি চাকরি করতেয়াছ?,তুমি কি চাকরি করছ?,Are you working?
880,কি চকরি গরর দে নে,কিতা চাকরি করছ নি?,কি চাকরি করতেয়াছ?,কি চাকরি করছ?,What job are you doing?
881,আই ক্যা এগা যা হষ্ট ফাই?,আমি ও হকল সময় কষ্ট পাই কিওর লাগি?,মুই কির লাইগা হক্কল কালে কষ্ট পাই?,আমি কেনো সবসময় কষ্ট পাই?,Why do I always suffer?
882,ক্যা এগা যা হষ্ট ফাই?,হকল সময় কষ্ট পাই কিওর লাগি?,কির লাইগা হক্কল কালে কষ্ট পাই?,কেনো সবসময় কষ্ট পাই?,Why do I always suffer?
883,এগা যা হষ্ট ফাই?,সময় কষ্ট পাই,হক্কল কালে কষ্ট পাই,সবসময় কষ্ট পাই?,Do I always suffer?
884,হষ্ট ফাই,কষ্ট পাই,কষ্ট পাই,কষ্ট পাই,I suffer.
885,আর বালোবাসায় হম কি আছিলো?,আমার ভালোবাসাত কিতার কমতি আছিলো?,মোর ভালোবাসায় কম কি আছেলো?,আমার ভালোবাসায় কম কি ছিলো?,Was there any lack in my love?
886,বালোবাসায় হম কি আছিলো?,ভালোবাসাত কিতার কমতি আছিলো?,ভালোবাসায় কম কি আছেলো?,ভালোবাসায় কম কি ছিলো?,Was there any lack in my love?
887,হম কি আছিলো?,কমতি আছিলো?,কম কি আছেলো?,কম কি ছিলো?,Was there any lack?
888,ইতারা তিন বাই আছিলো কিন্তু তারার মাঝে মিল ন আছিলো,তারা তিঙ্গু ভাই আছিলো কিন্তু হেরার মাঝে মিল আছিলো না,হেরা তিন ভাই আছেলো তয় হেগো মইধ্যে মিল আছিলো না,তারা তিনভাই ছিলো কিন্তু তাদের মধ্যে মিল ছিলো না,"They were three brothers, but there was no harmony among them."
889,ইতারা তিন বাই আছিলো ,তারা তিঙ্গু ভাই আছিলো ,হেরা তিন ভাই আছেলো ,তারা তিনভাই ছিলো ,They were three brothers.
890,কিন্তু তারার মাঝে মিল ন আছিলো,কিন্তু হেরার মাঝে মিল আছিলো না,তয় হেগো মইধ্যে মিল আছিলো না,কিন্তু তাদের মধ্যে মিল ছিলো না,But there was no harmony among them.
891,তারার মাঝে মিল ন আছিলো,হেরার মাঝে মিল আছিলো না,হেগো মইধ্যে মিল আছিলো না,তাদের মধ্যে মিল ছিলো না,There was no harmony among them.
892,মিল ন আছিলো,মিল আছিলো না,মিল আছিলো না,মিল ছিলো না,There was no harmony.
893,মিল আছিলো,মিল আছিলো ,মিল আছিলো ,মিল ছিলো,There was harmony.
894,ইতারা তিন বাই আছিলো কিন্তু তারার মাঝে মিল আছিলো,তারা তিঙ্গু ভাই আছিলো কিন্তু হেরার মাঝে মিল আছিলো ,হেরা তিন ভাই আছেলো তয় হেগো মইধ্যে মিল আছিলো ,তারা তিনভাই ছিলো কিন্তু তাদের মধ্যে মিল ছিলো,"They were three brothers, but there was no harmony among them."
895,অনে আর লাই এন গরি হতা হতে ন ফারেন,আফনে আমার লগে ওলা মাত্তা ফারোইন না,আমনে মোর লগে এমনে কথা কইতে পারেন না,আপনি আমার সাথে এভাবে কথা বলতে পারেন না,You cannot speak to me like this.
896,আর লাই এন গরি হতা হতে ন ফারেন,আমার লগে ওলা মাত্তা ফারোইন না,মোর লগে এমনে কথা কইতে পারেন না,আমার সাথে এভাবে কথা বলতে পারেন না,You cannot speak to me like this.
897,এন গরি হতা হতে ন ফারেন,ওলা মাত্তা ফারোইন না,এমনে কথা কইতে পারেন না,এভাবে কথা বলতে পারেন না,You cannot speak like this.
898,হতা হতে ন ফারেন,মাত্তা ফারোইন না,কথা কইতে পারেন না,কথা বলতে পারেন না,You cannot speak.
899,অনে এন গরি হতা হতে ন ফারেন,আফনে ওলা মাত্তা ফারোইন না,আমনে এমনে কথা কইতে পারেন না,আপনি এভাবে কথা বলতে পারেন না,You cannot speak to me like this.
900,অনে হতা হতে ন ফারেন,আফনে মাত্তা ফারোইন না,আমনে কথা কইতে পারেন না,আপনি কথা বলতে পারেন না,You cannot speak.
901,আইজ হতো তারিখ?,আইজ কতো তারিখ?,আইজ কয় তারিখ?,আজকে কতো তারিখ?,What is today's date?
902,হতো তারিখ?,কতো তারিখ?,কয় তারিখ?,কতো তারিখ?,What is the date?
903,বেগ গুন কেন আছ?,কিলা আছইন আফনেরা?,হগলডি কেমন আছ?,সবাই কেমন আছেন?,How is everyone?
904,আজিয়া দুইরগা আরার দাওত আছে,আইজ দুপুর বেলা আমরার দাওয়াত আছে,আইজ দুফারে মোগো দাওয়াত আছে,আজকে দুপুরে আমাদের দাওয়াত আছে,We have an invitation today at noon.
905,দুইরগা আরার দাওত আছে,দুপুর বেলা আমরার দাওয়াত আছে,দুফারে মোগো দাওয়াত আছে,দুপুরে আমাদের দাওয়াত আছে,We have an invitation at noon.
906,আরার দাওত আছে,আমরার দাওয়াত আছে,মোগো দাওয়াত আছে,আমাদের দাওয়াত আছে,We have an invitation.
907,দাওত আছে,দাওয়াত আছে,দাওয়াত আছে,দাওয়াত আছে,There is an invitation.
908,ঘড়িত হতা বাজের?,ঘড়িত বাজে কয়টা?,ঘড়িতে কয়ডা বাজে?,ঘড়িতে কয়টা বাজে?,What time is it on the clock?
909,হতা বাজের?,বাজে কয়টা?,কয়ডা বাজে?,কয়টা বাজে?,What time is it?
910,আজিয়া আর জন্মদিন,আইজ আমার জন্মদিন,আইজ মোর জন্মদিন,আজকে আম্র জন্মদিন,Today is my birthday.
911,আর জন্মদিন,আমার জন্মদিন,মোর জন্মদিন,আম্র জন্মদিন,Today is my birthday.
912,আজিয়া জন্মদিন,আইজ জন্মদিন,আইজ জন্মদিন,আজকে জন্মদিন,Today is my birthday.
913,ইতে আরে ওগগা উফার দিয়ে,হে আমারে একগু উপহার দিছে,হে মোরে এউক্কা উপহার দেছে,সে আমাকে একটি উপহার দিয়েছে,He gave me a gift.
914,আরে ওগগা উফার দিয়ে,আমারে একগু উপহার দিছে,মোরে এউক্কা উপহার দেছে,আমাকে একটি উপহার দিয়েছে,He gave me a gift.
915,ওগগা উফার দিয়ে,একগু উপহার দিছে,এউক্কা উপহার দেছে,একটি উপহার দিয়েছে,He gave a gift.
916,উফার দিয়ে,উপহার দিছে,উপহার দেছে,উপহার দিয়েছে,He gave a gift.
917,ইতে বোত বেলা গরি ঘুম যায়,হে খুব বেলা লাগাইয়া ঘুমায়,হে মেলা বেলা কইররা ঘুমায়,সে অনেক বেলা করে ঘুমায়,He sleeps very late.
918,বোত বেলা গরি ঘুম যায়,খুব বেলা লাগাইয়া ঘুমায়,মেলা বেলা কইররা ঘুমায়,অনেক বেলা করে ঘুমায়,He sleeps very late.
919,বেলা গরি ঘুম যায়,বেলা লাগাইয়া ঘুমায়,বেলা কইররা ঘুমায়,বেলা করে ঘুমায়,He sleeps late.
920,এহন তুই গান গাইত ন ফারিবা,ওখন তুমাইতাইন গান গাইতে ফারতায় না,এহন তুমি গান গাইতে পারবা না,একখন তুমি গান গাইতে পারবে না,Now you cannot sing.
921,তুই গান গাইত ন ফারিবা,তুমাইতাইন গান গাইতে ফারতায় না,তুমি গান গাইতে পারবা না,তুমি গান গাইতে পারবে না,You cannot sing.
922,গান গাইত ন ফারিবা,গান গাইতে ফারতায় না,গান গাইতে পারবা না,গান গাইতে পারবে না,You cannot sing.
923,গাইত ন ফারিবা,গাইতে ফারতায় না,গাইতে পারবা না,গাইতে পারবে না,You cannot sing.
924,অনে বহুত ভালা মানুষ,আফনে বহুত ভালা মানুষ,আমনে মেলা ভালো মানুষ,আপনি অনেক ভালো মানুষ,You are a very good person.
925,বহুত ভালা মানুষ,বহুত ভালা মানুষ,মেলা ভালো মানুষ,অনেক ভালো মানুষ,You are a very good person.
926,ভালা মানুষ,ভালা মানুষ,ভালা মানুষ,ভালো মানুষ,A good person.
927,অনে ভালা মানুষ,আফনে ভালা মানুষ,আমনে ভালো মানুষ,আপনি ভালো মানুষ,You are a good person.
928,আরা ঢাহা তাকি,আমরা ঢাকাত থাকি,মোরা ঢাহায় থাহি,আমরা ঢাকায় থাকি,We live in Dhaka.
929,ঢাহা তাকি,ঢাকাত থাকি,ঢাহায় থাহি,ঢাকায় থাকি,We live in Dhaka.
930,আই ঢাহার মিরফুর তাকি,আমি ঢাকার মিরপর ও থাকি,মুই ঢাহার মিরপুরে থাহি,আমি ঢাকার মিরপুরে থাকি,"I live in Mirpur, Dhaka."
931,ঢাহার মিরফুর তাকি,ঢাকার মিরপর ও থাকি,ঢাহার মিরপুরে থাহি,ঢাকার মিরপুরে থাকি,"I live in Mirpur, Dhaka."
932,মিরফুর তাকি,মিরপর ও থাকি,মিরপুরে থাহি,মিরপুরে থাকি,I live in Mirpur.
933,আই মিরফুর তাকি,আমি মিরপর ও থাকি,মুই মিরপুরে থাহি,আমি মিরপুরে থাকি,I live in Mirpur.
934,আই ইবার চোখোর মায়াত ফরিগি,আমি তাইর চোউখের মায়াত পরছি,মুই হের চোহের মায়ায় পরছি,আমি তার চোখের মায়ায় পরেছি,I have fallen under the spell of his eyes.
935,ইবার চোখোর মায়াত ফরিগি,তাইর চোউখের মায়াত পরছি,হের চোহের মায়ায় পরছি,তার চোখের মায়ায় পরেছি,I have fallen under the spell of his eyes.
936,চোখোর মায়াত ফরিগি,চোউখের মায়াত পরছি,চোহের মায়ায় পরছি,চোখের মায়ায় পরেছি,I have fallen under the spell of his eyes.
937,মায়াত ফরিগি,মায়াত পরছি,মায়ায় পরছি,মায়ায় পরেছি,I have fallen under the spell.
938,আই চোখোর মায়াত ফরিগি,আমি চোউখের মায়াত পরছি,মুই চোহের মায়ায় পরছি,আমি চোখের মায়ায় পরেছি,I have fallen under the spell of his eyes.
939,আই মায়াত ফরিগি,আমি মায়াত পরছি,মুই মায়ায় পরছি,আমি মায়ায় পরেছি,I have fallen under the spell.
940,ইবার হাসি বহুত সুন্দর,হের হাসি যে সুন্দর,হের হাসি বেমালা সুন্দর,তার হাসি অনেক সুন্দর,His smile is very beautiful.
941,হাসি বহুত সুন্দর,হাসি যে সুন্দর,হাসি বেমালা সুন্দর,হাসি অনেক সুন্দর,His smile is very beautiful.
942,ইবা ইবার ফরিবার ওরে বালোবাসে,হে তার পরিবাররে যে ভালা ফায়,হে হের পরিবাররে ভালোবাসে,সে তার পরিবারকে ভালো বাসে,He loves his family.
943,ইবার ফরিবার ওরে বালোবাসে,তার পরিবাররে যে ভালা ফায়,হের পরিবাররে ভালোবাসে,তার পরিবারকে ভালো বাসে,He loves his family.
944,ফরিবার ওরে বালোবাসে,পরিবাররে যে ভালা ফায়,পরিবাররে ভালোবাসে,পরিবারকে ভালো বাসে,He loves his family.
945,ইবা ফরিবার ওরে বালোবাসে,হে পরিবাররে যে ভালা ফায়,হে পরিবাররে ভালোবাসে,সে পরিবারকে ভালো বাসে,He loves his family.
946,এবার লাই আই বেগগিন গরিত ফারি,তার লাগি আমি হকলতা করতাম ফারি,হের লাইগা মুই সবকিছু করতে পারি,তার জন্য আমি সব কিছু করতে পারি,I can do anything for him.
947,আই বেগগিন গরিত ফারি,আমি হকলতা করতাম ফারি,মুই সবকিছু করতে পারি,আমি সব কিছু করতে পারি,I can do anything for him.
948,বেগগিন গরিত ফারি,হকলতা করতাম ফারি,সবকিছু করতে পারি,সব কিছু করতে পারি,I can do anything.
949,এবার লাই বেগগিন গরিত ফারি,তার লাগি হকলতা করতাম ফারি,হের লাইগা সবকিছু করতে পারি,তার জন্য সব কিছু করতে পারি,I can do anything for him.
950,আই ইবারে বালোবাসি,আমি তারে ভালা ফাই,মুই হেরে ভালোবাসি,আমি তাকে ভালোবাসি,I love him.
951,ইবারে বালোবাসি,তারে ভালা ফাই,হেরে ভালোবাসি,তাকে ভালোবাসি,I love him.
952,ইবার চুললিন বহুত লম্বা,তার চুলগুন যে লম্বা,গের চুলগুলান মেলা লম্বা,আর চুলগুলো অনেক লম্বা,And his hair is very long.
953,ইতে হন?,ওটা কে্ডা,এডা কেডা,এটা কে?,Who is this?
